Class,Sequence,Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
0,2,12.41655284,12.35904803,52.90715191,56.39101384,91.00194194,88.53068207,179.543354,179.8178401
3,180,11.77050494,12.0186332,142.5634716,169.9130584,91.13737584,88.45000578,179.3916741,179.8640522
3,180,11.22832661,11.99088047,177.3679787,179.9929819,91.05258502,88.60822641,179.2909454,179.7268387
3,180,10.53899509,11.87852618,166.0844088,177.4915991,91.63719221,88.04478857,179.0958192,179.7135204
3,180,10.42889201,11.50715126,168.6774866,173.7583966,91.78147037,87.9167056,179.0875266,179.6601057
3,180,10.3233473,11.40339712,171.37677,179.6925087,93.38728286,86.34434044,179.0817433,179.4830558
3,180,10.15587135,10.32139157,173.8255026,177.921593,92.73219421,86.8574633,179.9454853,179.7255647
3,180,9.974280199,9.893388885,172.7275209,176.8260951,92.45147994,87.06306278,179.508245,179.8675783
3,180,9.796582305,9.295702455,172.2415163,176.1115865,92.08475852,87.37957847,179.0006585,179.4639835
3,180,9.496408495,9.131095196,171.6779988,176.175088,91.93104138,87.57050594,178.8365804,179.13103
3,180,9.46354404,8.888748215,173.0994318,177.974731,90.42541884,89.06499563,178.743292,178.8737182
3,180,9.427542109,8.688354103,173.4337657,178.511659,89.67096583,89.76564408,178.8139284,178.8022543
