Class,Sequence,distance_11_13,distance_12_14,distance_23_11,distance_24_12,distance_25_23,distance_26_24,distance_27_25,distance_28_26,distance_11_12,distance_13_14,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle
0,0,0.119389662,0.155224573,0.187992432,0.14788126,0.147733386,0.217695923,0.122685411,0.184013263,0.138218858,0.181100913,177.2553177,172.7467564,97.42757457,104.8934753,151.1478294,61.43032451,179.7600403,169.4514724
0,0,0.121120494,0.155968722,0.187927137,0.15011453,0.148828734,0.181959724,0.121666505,0.213443628,0.138659065,0.1811954,177.8084492,174.165245,97.44472359,104.7838724,150.0599889,78.92071228,179.2832196,176.6033732
0,0,0.12364286,0.153529328,0.187620502,0.150900654,0.143585409,0.182312021,0.125239179,0.214505331,0.137588005,0.176134041,178.5309785,174.8110025,97.46629468,104.5250646,150.5293615,79.69073571,177.3386923,178.0539261
0,0,0.123699738,0.154062348,0.185648652,0.14990736,0.142454689,0.186668823,0.133957144,0.209041257,0.13654051,0.174569816,177.4942945,174.9332904,96.20621232,103.9712144,150.215501,79.53514562,172.4337476,177.9581601
0,0,0.12397984,0.153970375,0.185943652,0.150081678,0.142896714,0.223071059,0.14045415,0.199780805,0.136885274,0.17479662,177.7017797,174.3925519,96.02298831,103.6602097,150.5249461,63.75146443,168.1625913,172.6915313
0,0,0.121009615,0.154210278,0.184694889,0.146049057,0.143968686,0.23191652,0.144321588,0.197795192,0.137161782,0.178325782,178.9654932,174.0348722,95.20030805,102.4653871,149.7849284,64.00824137,166.6727034,173.0995929
0,0,0.114792798,0.154447295,0.183796447,0.144866018,0.141199906,0.231741775,0.148090412,0.170727596,0.13714334,0.183123335,178.0733364,173.4028928,93.34103678,101.36714,149.5441031,65.79803064,166.4267266,155.0839787
0,0,0.11128499,0.155670698,0.183904538,0.145875273,0.139830532,0.174256698,0.14912675,0.195646708,0.137518691,0.189798402,178.631119,173.3005001,95.14444098,100.9598743,150.2884884,82.7508281,165.3605331,165.352965
0,0,0.101403952,0.159273432,0.183546214,0.147813061,0.140283789,0.134055666,0.144206477,0.192434455,0.137815652,0.203804853,175.494775,173.4729555,97.56719485,101.8319066,152.3901972,99.51648899,166.0913174,178.5419743
0,0,0.103461493,0.16022925,0.18330266,0.147390048,0.143590327,0.149883979,0.139783254,0.218116585,0.137947135,0.202628615,175.0943345,173.7377486,97.27030157,102.3449331,153.9303951,95.71864357,164.3651229,176.1886637
0,0,0.102195004,0.16149363,0.183477692,0.149370223,0.14444251,0.110677793,0.14749104,0.138217927,0.136973965,0.20619921,170.8680952,174.4552774,99.67338934,103.6149811,154.8935054,131.1837049,163.4331747,170.0058768
0,0,0.101157286,0.161725343,0.183855861,0.154233253,0.143146245,0.145339617,0.150968594,0.134101382,0.137431123,0.209822766,167.4515713,175.068537,101.9404789,103.6522268,155.8823708,173.8192805,161.1295713,171.5183796
0,0,0.091434259,0.161438168,0.185792184,0.15822041,0.144269835,0.147525479,0.149542143,0.134450343,0.137821127,0.211878268,177.8664729,174.3801364,94.29237022,102.8799207,156.9381743,173.1372466,160.4706596,170.4307407
0,0,0.090105166,0.1612478,0.187329864,0.159346009,0.143886558,0.144800766,0.149648991,0.137566847,0.137619518,0.216456438,169.6054394,175.5008354,99.04695201,102.0616384,157.2046733,174.5210866,161.565402,170.8610505
0,0,0.088447308,0.155523468,0.190457223,0.160182819,0.146034135,0.145249689,0.147040378,0.135372639,0.134951995,0.215947318,165.3436781,170.0703541,102.3296085,96.70744485,157.7521303,176.1485383,163.8389725,176.9080613
0,0,0.086951704,0.154280822,0.190847292,0.162822784,0.146463237,0.145042338,0.151908965,0.141265513,0.132748296,0.213097191,163.2297857,172.4683515,102.6234246,96.75999208,157.5601878,174.4781346,161.8497531,169.9627034
